SK,Slovakia,5450421
SK0,Slovensko,5450421
SK01,Bratislavský kraj,659598
SK02,Západné Slovensko,1826145
SK03,Stredné Slovensko,1339242
SK04,Východné Slovensko,1625436
FI,Finland,5517919
FI1,Manner-Suomi,5488130
FI19,Länsi-Suomi,1379749
FI1B,Helsinki-Uusimaa,1671024
FI1C,Etelä-Suomi,1152719
FI1D,Pohjois- ja Itä-Suomi,1284638
FI2,Åland,29789
FI20,Åland,29789
SE,Sweden,10230185
SE1,Östra Sverige,4052937
SE11,Stockholm,2344124
SE12,Östra Mellansverige,1708813
SE2,Södra Sverige,4425644
SE21,Småland med öarna,864630
SE22,Sydsverige,1521848
SE23,Västsverige,2039166
SE3,Norra Sverige,1751604
SE31,Norra Mellansverige,855220
SE32,Mellersta Norrland,375733
SE33,Övre Norrland,520651
UK,United Kingdom,66647112
UKC,North East (UK),2656980
UKC1,Tees Valley and Durham,1201543
UKC2,Northumberland and Tyne and Wear,1455437
UKD,North West (UK),7300075
UKD1,Cumbria,498083
UKD3,Greater Manchester,2822003
UKD4,Lancashire,1495318
UKD6,Cheshire,931347
UKD7,Merseyside,1553324
UKE,Yorkshire and The Humber,5486230
UKE1,East Yorkshire and Northern Lincolnshire,932645
UKE2,North Yorkshire,824054
UKE3,South Yorkshire,1404971
UKE4,West Yorkshire,2324560
UKF,East Midlands (UK),4811065
UKF1,Derbyshire and Nottinghamshire,2210381
UKF2,"Leicestershire, Rutland and Northamptonshire",1843764
UKF3,Lincolnshire,756920
UKG,West Midlands (UK),5907872
UKG1,"Herefordshire, Worcestershire and Warwickshire",1352539
UKG2,Shropshire and Staffordshire,1626956
UKG3,West Midlands,2928377
UKH,East of England,6235410
UKH1,East Anglia,2521676
UKH2,Bedfordshire and Hertfordshire,1871847
UKH3,Essex,1841887
UKI,London,8982256
UKI3,Inner London - West,1190513
UKI4,Inner London - East,2430890
UKI5,Outer London - East and North East,1940638
UKI6,Outer London - South,1316772
UKI7,Outer London - West and North West,2103443
UKJ,South East (UK),9175033
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2417428
UKJ2,"Surrey, East and West Sussex",2909838
UKJ3,Hampshire and Isle of Wight,1993050
UKJ4,Kent,1854717
UKK,South West (UK),5616381
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",2516568
UKK2,Dorset and Somerset,1336003
UKK3,Cornwall and Isles of Scilly,568612
UKK4,Devon,1195198
UKL,Wales,3136383
UKL1,West Wales and The Valleys,1968383
UKL2,East Wales,1168000
UKM,Scotland,5454238
UKM5,North Eastern Scotland,495365
UKM6,Highlands and Islands,470990
UKM7,Eastern Scotland,1998699
UKM8,West Central Scotland,1541998
UKM9,Southern Scotland,947186
EFTA,European Free Trade Association,14268108
IS,Iceland,356991
IS0,Ísland,356991
IS00,Ísland,356991
LI,Liechtenstein,38378
LI0,Liechtenstein,38378
LI00,Liechtenstein,38378
NO,Norway,5328212
NO0,Norge,5328212
NO01,Oslo og Akershus (statistical region 2016),1305122
NO02,Innlandet,386951
NO03,Sør-Østlandet (statistical region 2016),1005070
NO04,Agder og Rogaland (statistical region 2016),780898
NO05,Vestlandet (statistical region 2016),901689
NO06,Trøndelag,462032
NO07,Nord-Norge,486450
CH,Switzerland,8544527
CH0,Schweiz/Suisse/Svizzera,8544527
CH01,Région lémanique,1642580
CH02,Espace Mittelland,1877154
CH03,Nordwestschweiz,1161105
CH04,Zürich,1520968
CH05,Ostschweiz,1176321
CH06,Zentralschweiz,813056
CH07,Ticino,353343
ME,Montenegro,622182
ME0,Crna Gora,622182
ME00,Crna Gora,622182
MK,North Macedonia,2077132
MK0,Severna Makedonija,2076953
MK00,Severna Makedonija,2076953
MKX,Not regionalised/Unknown level 1,179
MKXX,Not regionalised/Unknown level 2,179
AL,Albania,2862427
AL0,Shqipëria,2862427
AL01,Veri,813758
AL02,Qender,1170142
AL03,Jug,878527
ALX,Not regionalised/Unknown level 1,0
ALXX,Not regionalised/Unknown level 2,0
RS,Serbia,6963764
RS1,Srbija - sever,3548830
RS11,Beogradski region,1691919
RS12,Region Vojvodine,1856911
RS2,Srbija - jug,3414934
RS21,Region Sumadije i Zapadne Srbije,1916855
RS22,Region Juzne i Istocne Srbije,1498079
TR,Turkey,82003882
TR1,Istanbul,15067724
TR10,Istanbul,15067724
TR2,Bati Marmara,3569552
TR21,"Tekirdag, Edirne, Kirklareli",1802315
TR22,"Balikesir, Çanakkale",1767237
TR3,Ege,10514200
TR31,Izmir,4320519
TR32,"Aydin, Denizli, Mugla",3093015
TR33,"Manisa, Afyonkarahisar, Kütahya, Usak",3100666
TR4,Dogu Marmara,7968135
TR41,"Bursa, Eskisehir, Bilecik",4089156
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",3878979
TR5,Bati Anadolu,7961507
TR51,Ankara,5503985
TR52,"Konya, Karaman",2457522
TR6,Akdeniz,10461409
TR61,"Antalya, Isparta, Burdur",3137694
TR62,"Adana, Mersin",4034593
TR63,"Hatay, Kahramanmaras, Osmaniye",3289122
TR7,Orta Anadolu,4064957
TR71,"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",1603688
TR72,"Kayseri, Sivas, Yozgat",2461269
TR8,Bati Karadeniz,4688532
TR81,"Zonguldak, Karabük, Bartin",1046711
TR82,"Kastamonu, Çankiri, Sinop",819468
TR83,"Samsun, Tokat, Çorum, Amasya",2822353
TR9,Dogu Karadeniz,2719113
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",2719113
TRA,Kuzeydogu Anadolu,2211054
TRA1,"Erzurum, Erzincan, Bayburt",1086156
TRA2,"Agri, Kars, Igdir, Ardahan",1124898
TRB,Ortadogu Anadolu,3929719
TRB1,"Malatya, Elazig, Bingöl, Tunceli",1762077
TRB2,"Van, Mus, Bitlis, Hakkari",2167642
TRC,Güneydogu Anadolu,8847980
TRC1,"Gaziantep, Adiyaman, Kilis",2795617
TRC2,"Sanliurfa, Diyarbakir",3768205
TRC3,"Mardin, Batman, Sirnak, Siirt",2284158
